1061k  223.12.113.32:8084
1055k  223.12.113.32:8082
1053k  223.12.113.32:8083
1034k  223.10.39.207:8082
933k  223.11.153.2:7777
821k  110.178.52.75:8082
746k  1.70.34.145:8084
724k  1.70.34.145:8085
659k  110.178.52.75:8085
659k  110.178.52.75:8083
628k  1.70.34.145:8083
620k  1.70.34.145:8082
574k  110.179.80.56:8082
280k  110.178.52.208:8085
226k  110.178.52.208:8083
198k  223.10.9.208:8085
197k  223.10.9.208:8082
197k  223.10.13.103:8085
196k  223.10.9.208:8084
196k  223.10.9.208:8083
196k  223.10.13.103:8083
193k  223.10.13.103:8082
179k  223.10.7.149:8082
179k  110.178.52.91:8083
175k  223.10.7.149:8083
121k  110.178.52.208:8082
